record_name,subject_id,segment_idx,fs,sqi_score,quality_grade,snr_db,perfusion_index,channel_name,global_segment_idx,batch_num,demo_id,real_subject_id,subject_id_int
p00/p000124/3644535_0078,p000124,2,125,0.8999999999999999,Excellent,45.30391077923688,1984953.6177050464,PLETH,237,3.0,124,10124,124
p00/p000124/3644535_0087,p000124,0,125,0.9920098612539259,Excellent,39.08684128616296,2459891.1496416465,PLETH,238,3.0,124,10124,124
p00/p000124/3644535_0087,p000124,1,125,0.9711136843469836,Excellent,36.69870678251243,76072072.90666886,PLETH,239,3.0,124,10124,124
p00/p000124/3644535_0087,p000124,2,125,0.9673148019742779,Excellent,36.26454879706033,876781.8767738616,PLETH,240,3.0,124,10124,124
p00/p000124/3644535_0090,p000124,0,125,0.9747665160054546,Excellent,37.116173257766235,1544499.0303210707,PLETH,241,3.0,124,10124,124
p00/p000124/3644535_0090,p000124,1,125,0.9677507907959491,Excellent,36.3143760909656,5582207.570940838,PLETH,242,3.0,124,10124,124
p00/p000124/3644535_0090,p000124,2,125,0.9387986135461436,Excellent,33.00555583384498,909425.4095177783,PLETH,243,3.0,124,10124,124
p00/p000124/3644535_0094,p000124,0,125,0.9829195164770304,Excellent,38.04794474023203,1827430.8189594154,PLETH,244,3.0,124,10124,124
p00/p000124/3644535_0110,p000124,0,125,1.0,Excellent,41.79233565604075,441799.5692193338,PLETH,245,3.0,124,10124,124
p00/p000124/3644535_0110,p000124,1,125,0.8999999999999999,Excellent,52.119896720088306,874442.2457433533,PLETH,246,3.0,124,10124,124
p00/p000124/3644535_0110,p000124,2,125,0.8999999999999999,Excellent,48.21260472802821,479076.9550329603,PLETH,247,3.0,124,10124,124
p00/p000124/3644535_0081,p000124,0,125,0.8999999999999999,Excellent,44.358464385876,1177347.6028613488,PLETH,248,3.0,124,10124,124
p00/p000124/3644535_0081,p000124,1,125,0.8999999999999999,Excellent,42.83900263456903,12358721.15856405,PLETH,249,3.0,124,10124,124
p00/p000124/3644535_0081,p000124,2,125,0.8999999999999999,Excellent,45.99908222540214,2249426.89418172,PLETH,250,3.0,124,10124,124
p00/p000124/3644535_0099,p000124,0,125,0.8751316897754793,Excellent,37.157907402911924,905587.3947468706,PLETH,251,3.0,124,10124,124
p00/p000124/3644535_0099,p000124,1,125,0.8665987639367474,Excellent,36.182715878485425,1947537.742813412,PLETH,252,3.0,124,10124,124
p00/p000124/3644535_0099,p000124,2,125,0.860421762327221,Excellent,35.47677283739668,1297931.0205489425,PLETH,253,3.0,124,10124,124
p00/p000124/3644535_0116,p000124,0,125,0.9649366709810023,Excellent,35.99276239782885,311873.0263338281,PLETH,254,3.0,124,10124,124
p00/p000124/3644535_0116,p000124,1,125,0.8,Excellent,47.46753708811688,-2751602.2435405618,PLETH,255,3.0,124,10124,124
p00/p000124/3644535_0097,p000124,0,125,0.9766328574149901,Excellent,37.329469418856014,2016832.37420889,PLETH,256,3.0,124,10124,124
